Pseudo,Title,Review,Rating,Verified Purchase,Date,Score,Compound,Sentiment
Bryan,ankles first,overall price paid excellent starter chromebook case initial idea take learning new operating system came regard wanted something seamless someone used android operating system pretty much given go far performance ease transition windows platform worked insightful since decided go back windows operating system however still keep chromebooks certain engagements endeavors,5.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on March 28, 2023","{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.9022}",0.9022,positive
Adys,great computer,got homeschooling working great even plays roblox well far really great addition homeschooling,5.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on July 4, 2021","{'neg': 0.0, 'neu': 0.601, 'pos': 0.399, 'compound': 0.9117}",0.9117,positive
Pirate,love suits purpose me👍,automatic direction screen comes click boot irritating screen things life don’t get blood pressure much anymore🤣,4.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on August 1, 2022","{'neg': 0.104, 'neu': 0.803, 'pos': 0.093, 'compound': 0.128}",0.128,positive
Daniell Mathews,good quality fast well worth money,screen quality great charges quickly battery charge lasts long time thing could find might find irritant must readjust screen move chromebook different locations back correct position see picture perfect screen mention find needing readjust screen occasionally see picture perfect screen course take away points 5 star rating thing could find would mention others something may find perfect,4.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on February 7, 2023","{'neg': 0.066, 'neu': 0.844, 'pos': 0.09, 'compound': 0.6251}",0.6251,positive
marva h.,nice little laptop,really like computeri use fantasy sports yahoo web surfing really like ive previously owned larger hp ones wanted go something different chrome operating system tired windows non stop updates first battery life excellent close computer sleeps uses almost zero battery open immediately ready use doesnt boot anything also charging port upside right side dont fiddle port rightly plug important note setup little tricky sign user owner take guest mode allows bookmark favorite pages immediately access faves involves setting google gmail account using existing one u handy simple unit well worth price suggest googling process unsure im computer savvy figured matter minutes 😁 recommend computer mousepad also simple tool left click right click pad without extra buttons get used suggest maybe getting actual mouse mousepad panel little tricky navigate great 👍 item,5.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on January 18, 2023","{'neg': 0.039, 'neu': 0.831, 'pos': 0.13, 'compound': 0.9837}",0.9837,positive
Shawn,great hardware price,could give opinion brands think “good” versus “budget” i’ve proven generic opinions wrong couple times nowi wasn’t sure lenovo last laptop hardwarespecs time got good price lenovo laptop solid it’s primary computer 10 years ie always used always still “my primary” i’m currently writing review showing it’s “tech age” lately it’s sadly time upgradeacer always seemed like “wally special” cheap construction lower spec hardware fairness acer cater budget sub300 laptop market looked around…and saw laptop great specs price range intended pay laptop sub500 appears acer betterspecdmidmarket products well went computer store similar lessspec’d model check construction little flimsy worse others seems laptops now…really lightweight little flimsy admittedly though still would preferred aluminum construction tradeoffs ordered thisthe tech specs included price good notably12th gen i5 processor8gb ddr4 ram “on par” ram 4gbx2 slot replaceable ie soldered upgradeable 32gb 16gbx2one gen3 pcie slot default installed 512gb gen3 ssd also gen4 slot room 25 ssd prefer adapter swapped gen3 512gb ssd 1tb gen4 ssd worked well note pics reflect new drive oem screen bright vivid enough liking anyway “iris xe” graphics apparently integrated graphics board good enough basic gaming great upgradeable sound little “tinny” don’t expect much laptop speakers one odd thing note speakers front bottom laptop i’d prefer top thoughthunderbolt 4 usbc port 10 gbps fast testedconfirmed charge peripheral devices yes testedcharged laptop successfully usbc charger tb4 port usb ports also usb 3 bluehdmi speakermic ports expectedwifi6 nic fast great…but laptop also still onboard 1gb rj45 network port use often testingwhen need dual nics gb speed insydeh2o uefi rather basic compared laptop firmware suppose it’s adequate limited optionsconfigurability support csm bioslegacymode memcard slot kensington lock port though personally never uses guess it’s nice like grey sleek look itit comes win 11 home downgradeable win 10 preferbottom linei’d preferred aluminumsturdier construction robust uefibios might find higher ie double priced laptops along perhaps sturdier components hardwarespecs robust price point acer laptop testing well far currently process replacing aged great lenovo laptop good buy…hopefully last long last laptop,4.3 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on January 10, 2023","{'neg': 0.044, 'neu': 0.816, 'pos': 0.14, 'compound': 0.9969}",0.9969,positive
Sam,good overall negatives including annoying bloatware,computer fine far wanted review since didnt see reviews mention following1 8gb ram two sticks 4gb memory means need replace sticks want 16gb disappointing isnt mentioned product description end spending double amount memory upgrade due didnt learn opened laptop add 8gb stick purchased means open add second stick ordered could avoided product description detailed2 quite bit annoying bloatware installed removed spammed multiple times things like dropbox norton removed manually finding deleting files cant uninstalled normal approaches like going add remove programs uninstalling right clicking icon start menu3 would nice cord somewhat longer im going buy longer mickey mouse cable solve huge deali deducted star mainly 1 2,5.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on December 30, 2022","{'neg': 0.056, 'neu': 0.88, 'pos': 0.064, 'compound': -0.0369}",-0.0369,negative
Shawn,portability laptop power desktop thunderbolt 4 port awesome,may showing age bit first pc ibm xt clone 40 megabyte hard drive full height 5 14 floppy drive weighed several pounds computers ran dos time trendsetter loaded windows 30 computer lol fast forward years care admit picked acer aspire 5 i5 modelive laptop days ran paces even took apart see things changeadd thing im slightly disappointed particular laptop came 2 4 gb memory cards instead 1 8 gb memory card bright side neither permanent ill flexibility decide upgrade memory back cover happy see easily add second pcie drive ssd drive ive ask santa get 1 tb pcie drive im hopeful ill get cause ive pretty good past year dcomparing specs i5 i7 biggest thing thunderbolt 4 port i5 i7 really surprised one little port amazing connect docking station sky limit picked fusion5 14 1 docking station allows add 3 monitors 100 watt charger charges laptop lot ports short one port allows laptop go laptop full blown desktop connecting one cablegetting back laptop definitely worth money especially sale love easily upgrade ram add additional storage space nice keyboard backlit annoying part turns 30 seconds typing however setting bios keep backlight time see youtube acers website instructions well,3.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on January 10, 2023","{'neg': 0.026, 'neu': 0.82, 'pos': 0.154, 'compound': 0.9959}",0.9959,positive
sinistermidget,nice price,ive puter almost month satisfied ive good luck acer laptops came time replace old one acer top list im old power user gamer keep mind taken time get used windows 11 change lay keyboard issues puter believe display better previous acer seems boot shut faster old one overall believe acer good value money,5.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on November 28, 2022","{'neg': 0.021, 'neu': 0.842, 'pos': 0.138, 'compound': 0.9285}",0.9285,positive
Amazon Customer,wanted love much,didn’t get take pictures laptop unfortunately two weeks upon opening box everything fine checked manufacturer date june 22 indeed new laptop confuses even issue say amazing screen quality didn’t bother webcam can’t speak it’s lightweight loved 4lbs issue fan loud i’ll admit didn’t much research got great price black friday done research model known fan issues reckon need laptop wouldn’t bother auditory sensory issues unnecessary sounds beyond disturbing first noticed updating getting setup figured lot one time biggie using days really never got better even running web browser nothing else noticeable running two programs noticeable anyone around reading online use it’s even louder plugged also add always proper ventilation using it’s loud couldn’t use class without bothering someone elseso overall review 35 really wanted love badly it’s perfect ultra thin laptop it’s sleek great screen quality fan issue downfall laptop sure amazon post review one wants hear negative reviews aware issue opinion i’d spend another 200 storage better processor it’s good starter laptop someone doesn’t need every day use returned two weeks never easy via amazon don’t get money back 30 days i’m still hundred bucks laptop classes january,4.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on March 15, 2023","{'neg': 0.101, 'neu': 0.791, 'pos': 0.108, 'compound': 0.6907}",0.6907,positive
John M Selden,horrible fan noise horrible horrible keyboard,zero control fans linux default bios driven fan control overexuberant terms cooling moment perform simpliest task fans come stay lord help decide anything cpu intensiveive owned lot laptops years lot acer laptops prior generation aspire model zero fan noise time 100 acers lap prevent form real control bios decided aggressive coolingquite literally cpus 40c hot yet fans blaringthe keyboard wow beyond terrible starters absolutely reason moved keys around delete key overstretch delete moved home key used updown arrow keys much less height basically randomly responsive due tiny naturethese primary keys used consoles editing documents used time primary keys hereand entire spacebar role smaller height wise making space bar finikity apt register randomly leftright edge hits difficult hit center mass disasterthere even weird lag coming shift typing quickly shift sticky resulting shift events happen eg 10ms delay shift realising releasedthere even double type events keys due horrible chicklet keyboard feelif sysadmin type lot run away laptop wont happy alldid mention keyboard sucks wanted make clear keyboard suckswhy acer,5.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on December 21, 2022","{'neg': 0.08, 'neu': 0.861, 'pos': 0.059, 'compound': -0.7971}",-0.7971,negative
John M Selden,backlight doesnt stay,like pc smaller older one dislike backlight keyboard doesnt stay turns 30 seconds without keyboard action,4.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on December 30, 2022","{'neg': 0.076, 'neu': 0.85, 'pos': 0.073, 'compound': -0.0258}",-0.0258,negative
Steve,good price,home use expected,4.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on December 27, 2022","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Sam,works well,pleasantly surprised works really well speed connectivity,4.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on February 8, 2023","{'neg': 0.0, 'neu': 0.448, 'pos': 0.552, 'compound': 0.7501}",0.7501,positive
Nathan Dumas,great little powerhouse,im giving little engine could five stars well two hundred dollars im reviewing two hundred dollar product comparing macbook air m1 would probably three stars comparing microsoft surface three half small budget laptop category excellentquick rundown blows mind good job ive used lot computers one impresses youve ever chromebook even cheap perhaps even expensive laptop youll feel difference immediately issues none deal breakers many many pros read onpros incredible price performance ratiovery well built cheap partsfullsize comfortable keyboardsmall lightweightgood design add stickers little plain youfull windows 10 license hardwired bloatwareinternal nvme slot external sd card sloti could keep going 200cons backlight keyboard least 116 modelsome irksome viewing angle problemsmaddeningly little built storagealmost little ramrealtek wifi card explained linux sectionive divided review individual sections webcam speakers performance software etc scroll one thats important read review top bottom orderintroduction aboveweight buildkeyboard trackpadscreenbatteryperformance including gamingwebcamspeakers soundsoftwarelinuxother sd card slot nvme slot hdmi output heating cleaningconclusionlet start disclaimers first ive using weeks enough time get good sense mettle iron problems theres things ive noticed ive added review see performance screen ill add arise problem significant enough made way wonder worth 200 really good price pointthe second disclaimer theres reviewers saying either got dud b clunked two years duds happen product exception mine decided go fritz ill update review relative exchange process wont deduct stars gave second get two years solid use good product buy another onewith said let get detailsweight build one greatest strengths rivals many laptops higher price ranges theres creaks cheap plastic waiting shatter flimsy toy solid electronic feels right hands lap desk many laptops try woo larger screens better specs life lower price tag turn cup coasters plug really feels like life itits obscenely light like macbook air move use lap without strain travelings kind thing weight sufficient would feel comfortable carrying airportthe screen hinge feels durable like wont breaking anytime soon set position like stays laptop isnt superultramega thin thin thats nice bonus could probably fit envelope maybe slightly larger envelope one steve jobs usedkeyboard trackpad keyboard im love full size cramping tiny keys accidentally presses give decisive gratifying feels good use keyboard actually one literally one thing feel cut little close corner theres backlight appears models backlight though im sure mine doesnt got 116 model little frustrating im considering getting book light type dark two hundred dollar laptop ill make dueanother note put delete key right next power key shucks times ive gone press delete key computer goes sleep mode inconvenience anything press power button start right back left still youre sensitive work something consider im sure youll learn quickly cautiousalso enter key green thought strange really like hard explainthe trackpad responsive click also decisive gratifying dont issues accidentally pressing im typing good expect click tap mouse clicks click right right clicks scrolling painless intuitive nuanced numpad keyboard nice touch though would traded backlit keyboardscreen going back started two hundred dollar laptop youre getting apple retina display minor viewing angle problems youll accommodate youre looking directly everything looks good pure colors whitening turn horizontally bend screen back theres noticeable change tone likely wont interfere work dont color grading professional photoshoots itthe screen resolution right screen small theres enough room want one significant factors comfort cramped would give headache strain eyes good job making sure theres breathing room healthy buffer zone around whatever youre focusing feel like move engage multiple thingstheres reviews complaining touch screen cant please everyone something feel missing especially 200battery battery life point time remaining windows estimates seems vary quite bit watched two movies used 4 hours still 17 kind thing charge night last day normal conditions also doesnt quick charge another little cut corner im stressing im around power outlet time quick charge issue youre wrong price pointside note charging port really plugs give little oomph pull pro con definitely dont want trip cord whole thing go flying table reposition device without worry cord falling outperformance actually one biggest strengths really surprised components come together create seamless experience nervous odd named intel processor n6 something something turns actually intel celeron four gigs memory doesnt seem like quite enough somehow manages muscle minimum left guess largely due ssd years ago laptop manufacturers two options storage physical hard drive expensive bulky power drain sort memory like thumb drive slow huge bottle neckswell thing solid state drive makes difference decent processor enough memory ssd breeze routine task ask open microsoft word surf web torrent files play music without hitch performance reasonable conditions never problem youll never feel pause get frustratedi love original warhammer 40k dawn war series plays effortlessly even mods welcomed imagine also play sins solar empire age empires among us terraria maybe even minecraft thats kind thing check gogcom great old games youll surprised whats planning light gaming nvme slot really come handyimportant edit using weeks lack ram starting become issue windows done good job managing memory even daytoday tasks overwhelm expresses stalled applications dropped chrome tabs even system notifications system run memory reach significant error though everything went black reboot windows wanted help set system big error luckily everything intact files settings programs kind startling headachei running programs nothing demanding youre planning using anything spotify chrome forewarnedwebcam webcam would expect hefty 03 megapixels arent dropped frames color processing alright need webcam fly itll due use webcam serious purposes would suggest investing nice one probably going anyway device able handle without issueof special note microphone actually great audio comes clear audible distinct focused find situation use onboard webcam video quality wont great wont problem heard understoodspeakers sound speakers placed device pointing directly would think would make impossible hear projects doesnt distort sound ive watched movies havent issue hearing gets plenty loud im bit audiophile though many advance say speakers theyre passable theyre bad youre getting irked sound quality theyre good would enjoy beethovens 5th various aspects sound bass whatever else parts called balanced clearif youre using casual media use lackluster sound quality fade background youll able enjoy whatever youre doingthe headphone amplifier decent appears didnt skimp tested pair sony mdr7506s oneforone studio monitors higher average impedance amplifier didnt quit reach optimal levels produced clear pleasing sound nice kick onboard amplifier adequate youre real audiophile use external amplifier primary factor consider sound putting boosted definitely cansoftware theres pieces bloatware youll want uninstall mcafee skype myasus dont know bloatware ask techy family remove fortunately none hard coded software hardware uninstalling straight forward simple done add remove programs laptop come windows mode suppose simpler version windows bothersome limitations power users made extremely easy convert regular windows 10 clicked button havent worry since full windows 10linux im super user comes linux know enough install use daytoday basis lowperformance computers like one linux tantalizing unfortunately wifi card system 111921 doesnt work linux doesnt seem support horizon people need prefer linux taken using usb wifi antenna untenable inconvenience people reporting switching nic entirely dont know enough speak thatother find really helpful sd card slot 64 gigs storage comes goes really quick like watch uh documentaries public domain like joker joaquin phoenix amazingly simple plug sd card got 256gb one 45 set utorrent load unfinished finished torrents onto card solves whole problem sd card buy fast enough download movies play one timeother reviewers pointed comes slot nvme ssd dont know probably doesnt make much difference helpful addition hoorayit tons ports great two usb ports usbc port mentioned sd card slot auxiliary port hdmi port ive used hdmi port full screen tv works watching movie quality movie file make difference sound compression changes necessary downloaded media generally done vlc help lot bluray performance doesnt seem affected whats happening scene amount soundif youre planning using presentations exactly want plug play n forgetduring normal unplugged use wouldnt able tell turned heat youre running processintensive program plugged heat thats normal use lap without worrying dont see heating issue also fanless big deal live dusty environment wont slowly running ground using listening fan whir louder louder tries compensate dustside note overheats itll turn wont hurt iti like take good care computers ease cleaning matters fanless alleviates lot issues would come across still cant access behind keyboard interesting see plays might able remove key clean would go long way wouldnt try without research carefully weighing benefits riskseither way favor buy small pack qtips little bottle house hold cleaner pinesol works well lens clothes throw bag case youre carrying laptop occasionally go keyboard qtips wipe exterior lens cloth come handy lot think dont know necessarily add life machine feel lot better worth taking pride devicesconclusion bottom line feels good use everything keyboard performance build quality makes enjoyable complete experience theres nothing really lacking get way spectacular daytoday use got little muscle 200 youre getting real product even something say higher end laptops decide go think youll pleased,4.3 out of 5 stars,Yes,"Reviewed in the United States on April 17, 2021","{'neg': 0.046, 'neu': 0.82, 'pos': 0.134, 'compound': 0.9998}",0.9998,positive
Phoenix Angell,perfect travel companion,purchased small laptop 2021 using go writing take little thing everywhere held wonderfully well made compact issues battery usually get good 2 2 half hours writing done plug used watch movies using external blue ray disc drive watched streaming movies shows works great,5.0 out of 5 stars,Yes,"Reviewed in the United States on October 24, 2022","{'neg': 0.021, 'neu': 0.855, 'pos': 0.125, 'compound': 0.902}",0.902,positive
Nathan Dumas,great device order 64gb hdd,overall great laptop intended purpose order 64gbconsthe os takes around 2030gb cant remember specifically much default programs ie ms office easily eat another 20gb everything accounted left with10ish precious gbs remainingand youll learn quickly whatever use thing chew right space windows updates alone eat gbs windows caching passively eat gbs arent looking less year wasting hours deactivating hidden folders deleting everything find googling cancannot delete perpetually slowloading usb stick budgeting remaining gbs 23 programssoon wont able download windows updates youre literally juggling 200mb hdd space system says dont enough room download next patch least dont worry sneakily upgrading windows 11 one day theres literally room left soand save trivial amount money 50 bigger hdd feel pretty stupid stingy time cant help blame manufacturer putting disclaimer os consumes half hdd windows default programs eat almost half realistically left 10gb hdd spaceperhaps incredibly annoying thing windows 10 eat half ram existing never really gave much thought much ram os eats found staring task manager wondering windows 10 needs 4gb ram laptop 8gb spare absurd order one ram otherwise know youll need keep thing running lightalso awesome mousepad toggle number pad super cool poor thing stopped working several months requires wireless mouse function oh well still nearly aggravating hddram situationprosaside issues 110 fantastic deal would highly recommend developers students want light portable simplistic device text editors running basic programming projects preferred techies need move connect company devices troubleshooting updates etc think would excellent tool job obviously gaming laptop dont think anyone buys impression theyll running unreal engine 5 either would totally work freeware games simple games could work dinosaur computersconclusionthis laptop work school laptop primarily wonderful nifty tool excels role prepared deal broken touchpad potentially know half ram eaten osand please love sanity order 64gb hdd get larger hdd youll severely regret cheaping less 50 price difference,3.0 out of 5 stars,Yes,"Reviewed in the United States on April 17, 2021","{'neg': 0.072, 'neu': 0.786, 'pos': 0.142, 'compound': 0.9933}",0.9933,positive
Nathan Dumas,love little thing,price really can’t beat stream tv go bigger phone use word programs need side hustle perfect great battery life,5.0 out of 5 stars,Yes,"Reviewed in the United States on March 9, 2023","{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.8316}",0.8316,positive
Tina Pringels,excellent machine price combined m2 ssd,bought machine looking small inexpensive machine good battery life use writing media consumption travelling without worry much damaged broken stolenthis laptop comes 64gb emmc disk small fast bought m2 ssd add laptop primary disk bought western digital sn550 ssd add m2 ssd remove ten screws bottom laptop two different lengths screw mark holes longer screws removing removing bottom cover bit tricky tight start corner insert plastic credit card similar gap pull credit card around seam pop clips trick push credit card far seam get caught insert tiny bit seam glide easily removed bottom cover place insert ssd labelled motherboard push add single screw secure screw doesnt ship ssd usually need one buy kit dollars search m2 mounting screws get kit screws screwdriver correct size also used remove case screwsonce youve added ssd wont appear windows youve formatted disk manager open searching disk start menu hitting create format hard disk partitionsonce formatted use regular disk best performance reinstall windows ssd create windows 10 installation media search google create installation media windows follow instructions youll need usb drive thats 8gb biggeronce youve created installation media install windows ssd hit f2 booting laptop get bios select startup disk drivers available asus site search asus l210 drivers hit support windows automatically find digital license machine activaterunning ssd performance machine good considering price processor fast enough watch 4k youtube videos wish keyboard finetogood touchpad ok good considering price speakers great good enough watching youtube good would expect price size backlit keyboard thats something care screen fine good price overall build quality feels good compared units price range machine feels lightbattery life excellent using windows 10 battery saver mode activate pressing speech bubble bottom right task bar hitting battery save routinely get 12 hours normal usage medium brightness really excellent price opinionif want small cheap machine good battery life decent performance willing add m2 ssd great choice,5.0 out of 5 stars,Yes,"Reviewed in the United States on October 24, 2022","{'neg': 0.054, 'neu': 0.805, 'pos': 0.141, 'compound': 0.9962}",0.9962,positive
Phoenix Angell,light everything large one,got whole family use grandson loves play games perfect doesnt problems using perfect bills even watch tv shows overall nice light small laptop thats easy store,5.0 out of 5 stars,Yes,"Reviewed in the United States on March 23, 2023","{'neg': 0.0, 'neu': 0.735, 'pos': 0.265, 'compound': 0.952}",0.952,positive
lcb,fantastic little laptop great price,purchased laptop use spare machine consulting practice also use ham radio hobby saw specs laptop followed price couldnt help order one key requirements size weight decent screen little machine fits requirements spadesi impressed l210s performance features definitely gaming machine adequate anyone needs web browsing office apps non cpu memoryintensive tasksill start cons 4gb ram nonexpandablesoldered despite asus page stating otherwise 64gb ssd easily expandable added 500gb ssd 50 adequate screen resolution 1366x768 fine tasks nonback lit keyboard even though product listing says backlit relatively slow adequate intel celeron cpu limited usbc support cannot charge laptop via usbc support external usbc monitor adapter weird 10key pad touch pad enabled via small button touch pad easy accidentally turn wreaking havoc use touchpad way permanently disable via bios touch screen surprising given price pointall clearly spelled product description none surprise several definitely design decisions order keep cost battery life highpros amazing battery life ive seeing 811 hours per charge normal use super lightweight small form factor 23 pounds105kg thin nice port options builtin hdmi usbc plus 2 classic usb ports expandable hard drive via m2 ssd stick took 5 minutes 50 expand storage 500gb nice keyboard rivaling much expensive laptops comes windows 10 mode easily upgraded windows 10 home charge really great price fully expected buy unknown branded laptop price point asus great brand history providing good support highquality productsin summary im pleased purchase fits bill needs perfectly fantastic battery life weighs less ipad pro folio keyboard runs full windows 10 including apps need runof cons listed 4gb ram limitation lack backlit keyboard major annoyances said machine supplies functionality need backup travel ham radio laptop since machines video editing gaming etc dont need machine tasksif looking nice little laptop basic office tasks great choicei forgot mention asus giving 90day warranty extension exchange writing review,3.0 out of 5 stars,Yes,"Reviewed in the United States on June 8, 2021","{'neg': 0.064, 'neu': 0.759, 'pos': 0.177, 'compound': 0.9976}",0.9976,positive
LM,surpassed expectations,many years using actual netbooks market something shape size discontinued term wanted something somewhat future proof wouldnt crap windows updates like previous modelsi saw video review posted elsewhere knew netbook nvme expansion slot plus sd card reader made thing elite compared models popped 512gb able install old video games programs even virtual machine twowindows 10 runs flawlessly bootup times breeze program loading times bit slow compared much higher end model something light incredible responsive little engine isas everyone tell thing game well play games yesteryear exactly bought course tested things like left4dead tower unite others left4dead barely runs even lowest settings farm together needs render quality dropped bare minimum actually expecting run ut3 engine source engine games minimal settings failed horribly also noticed bios much wiggle room throw memory gpu think struggles outside already known single channel memory flaw looking casual game simcity 2000 roller coast tycoon handle dont expect play anything 1990si made jump windows 11 yet little weary 4gb limitation constantly reminding upgrade know fully 11 ready future proofingthe numpad seems like cool idea first trouble getting hang often forget even think great feature may serve college student isnt used traditional trackpads well old self used traditional laptop need train utilize iti love netbook would definitely buy another one upgraded model future one starts showing age highly recommend anyone wants something small decent storage great response times,5.0 out of 5 stars,Yes,"Reviewed in the United States on February 13, 2023","{'neg': 0.063, 'neu': 0.827, 'pos': 0.109, 'compound': 0.9746}",0.9746,positive
bernard gallert,disappointing,although arrived china quickly reasonable job backup two features made clear someone like knows little technical aspects computing1 ethernet socket live wifi poor therefore main computer hardwired internet made clear specifications ignorance assumed computers came type input asked2 although clearly stated product description idea mode meant turns sort ploy microsoft prevent downloading thirdparty apps want use chrome rather awful bing browser vpn express essential get great firewall tried switch using info internet seem worki would normally returned process china complicated expensive therefore keep backup typewriter office apps work well keyboard good fat fingerscaveat emptor get someone knows computers probably one teenage children look specs buy,5.0 out of 5 stars,Yes,"Reviewed in the United States on May 13, 2021","{'neg': 0.05, 'neu': 0.885, 'pos': 0.066, 'compound': 0.7035}",0.7035,positive
Mark E,great laptop price,first arrived extremely slow everything took forever load used faster got give chance speakers bottom you’ll definitely connect headphone able hear audio it’s big deal super light weight easy travel perfect college student budget,4.0 out of 5 stars,Yes,"Reviewed in the United States on March 8, 2022","{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.9729}",0.9729,positive
Luke,lightning fast great value,fast reliable handles everything ive thrown recording office word etc great value around 700 yes usbc port supports video charging supports displayport however gaming computer able run many xbox online games due lowend graphics card overall great value thus print good music production laptop work laptop,4.4 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on February 28, 2023","{'neg': 0.0, 'neu': 0.731, 'pos': 0.269, 'compound': 0.9705}",0.9705,positive
maskedgamer,buena laptop,excelente inversión,4.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on March 12, 2023","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Luke,good except…,enjoy laptop bought macbook pro’s keyboard broken didn’t want spend hundreds repairing old laptopimages crisp turn adaptive display lighting drastically changes switching one tab another keyboard responsive touchpad bit clunky compare old 2016 macbook pro hinges look strong flipped laptop bad issues hp laptops hinges hinges seem strong since designed flipped often however make noise open laptop touchscreen good haven’t really used lot issues scrolling laptop mode smoothmy biggest gripe battery life hardly lasts 5 hours basic internet ms office use drains batteries quite fast compared 6year old macbookall it’s ok spent little bit least macbook air bit bullet bought macbook pro laptop clunky hp omen bought year use gaming it’s behemoth usually end using “broken” macbook pro wireless keyboardmouse heavy hp omen instead newly bought laptop tell much i’m underwhelmed laptop even though use basic work stuff,3.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on February 28, 2023","{'neg': 0.016, 'neu': 0.942, 'pos': 0.042, 'compound': 0.642}",0.642,positive
David Orozco,basic laptop,basic laptop im little disappointed screen display like flat screen tv specific angle see everything clearly sharp would like use surfing net fb emails minimal use ms office products itll also disappointed 2 standard usb ports fast havent used without power cord cant comment battery life,4.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on March 19, 2023","{'neg': 0.056, 'neu': 0.894, 'pos': 0.051, 'compound': -0.373}",-0.373,negative
ScribeNurse,love laptop,fast light love keyboard use teams zoom outlook works great disadvantage cover easily gets striped,5.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on November 22, 2022","{'neg': 0.077, 'neu': 0.63, 'pos': 0.293, 'compound': 0.836}",0.836,positive
Niskymom,laptop,nice laptop got reasonable price wish could got black version white option available thing really surprised paying much money computer delivered signature delivered also original box even put cardboard box cover delivered anyone could see sitting porch steal don’t know it’s vendor something needs changed delivery laptopthe laptop great complaints use work definitely would purchase judi,4.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on January 24, 2023","{'neg': 0.049, 'neu': 0.803, 'pos': 0.149, 'compound': 0.9272}",0.9272,positive
Ivania,great laptop,great laptop nice picture,4.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on February 14, 2023","{'neg': 0.0, 'neu': 0.225, 'pos': 0.775, 'compound': 0.7845}",0.7845,positive
Ivania,great everything computer,laptop super lightweight still size features needed wifi connection great superfast finally using speed im paying isp enough space fit games music device room spare work projects documents screen bright adjustable clear quality speakers audio working microphone laptop another thing aware fan fans inside keep unit cool functioning kind loud sitting quiet room audio hear fans cooling machine gaming first got thought something wrong thats fan job battery life true specs windows 11 operating system pretty good enjoy graphic upgrade computer gave games pictures also comes mcafee web safety free little nice peace mind quality computer,5.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on January 11, 2023","{'neg': 0.024, 'neu': 0.76, 'pos': 0.216, 'compound': 0.9924}",0.9924,positive
judi k,battery life disappointing,unfortunately battery life advertised able use laptop 4 5 hours unplugged anything much would drain power quickly needed plug back also full charge unplugged sat week without turning turned battery 46 didnt use also somewhat difficult see letters images keys unless light right could somewhat given eyes arent used,5.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on March 20, 2023","{'neg': 0.05, 'neu': 0.95, 'pos': 0.0, 'compound': -0.6306}",-0.6306,negative
Amazon Customer,far good,far fastest laptop ever owned usually buy lowend i3 laptops became frustrated last hp i3 almost didnt buy one researching processors settled one far good responsive internet connection nearly instantaneous time takes load page also nearly instantaneous also great creating wordexcel documents purchased month ago shortterm view,4.0 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on October 27, 2022","{'neg': 0.053, 'neu': 0.791, 'pos': 0.156, 'compound': 0.9135}",0.9135,positive
Potsdam_sr,remember password,beautiful tablet forgot write password one day woke remembered zippy little tablet gives 5 seconds remember password 5 numbers plus letter alphabet could used time,4.5 out of 5 stars,Yes,"Reviewed in the United States 🇺🇸 on February 1, 2023","{'neg': 0.0, 'neu': 0.953, 'pos': 0.047, 'compound': 0.3506}",0.3506,positive
